Designator,Mid X,Mid Y,Rotation,Layer
C1,164.419389,-85.6423,45.0,top
C10,187.1088,-88.3923,0.0,top
C11,191.5588,-93.7923,90.0,top
C12,171.9588,-93.4423,45.0,top
C13,188.1,-110.9,180.0,top
C14,171.114435,-81.87834,315.0,top
C15,151.475,-61.85,270.0,top
C16,153.575,-62.42,270.0,top
C17,165.075,-61.6,270.0,top
C18,162.775,-62.32,270.0,top
C19,165.075,-65.2,270.0,top
C2,174.932812,-88.807986,225.0,top
C22,162.775,-64.3,90.0,top
C23,153.575,-64.5,270.0,top
C24,173.025,-54.95,270.0,top
C25,170.68125,-57.235,180.0,top
C26,173.56125,-52.435,180.0,top
C27,170.541,-50.849708,0.0,top
C28,173.48125,-53.435,180.0,top
C29,170.541,-51.949708,0.0,top
C3,163.760525,-88.383722,135.0,top
C30,166.92625,-53.735,0.0,top
C31,166.92625,-55.485,0.0,top
C32,151.475,-67.6,270.0,top
C33,153.6173,-66.8912,270.0,top
C4,162.828249,-84.471751,45.0,top
C43,155.7,-60.8,0.0,top
C44,159.8,-53.48,270.0,top
C45,159.8,-55.68,90.0,top
C5,167.119389,-91.602889,135.0,top
C6,166.256048,-93.256048,135.0,top
C7,165.2,-94.7,135.0,top
C8,165.000399,-91.796895,135.0,top
C9,163.444764,-90.24126,135.0,top
D1,194.9,-93.8,270.0,top
D2,172.1625,-101.8,180.0,top
FB1,167.0,-95.5,45.0,top
J1,191.0888,-71.8423,270.0,top
J2,187.5,-121.6,0.0,top
J4,192.9588,-81.5323,90.0,top
J5,188.12,-54.47,270.0,top
R1,150.18,-93.0,0.0,top
R10,145.3488,-118.6423,0.0,top
R11,158.1,-54.08,0.0,top
R12,158.11,-55.28,0.0,top
R13,177.03,-54.4,0.0,top
R14,177.03,-55.64,0.0,top
R15,186.85,-79.46,0.0,top
R16,186.165,-84.0,0.0,top
R2,175.39,-101.7,180.0,top
R3,194.9,-90.7,90.0,top
R4,157.75,-111.25,90.0,top
R5,167.8,-120.45,90.0,top
R6,157.75,-118.9912,90.0,top
R7,188.1,-112.1,0.0,top
R9,157.4588,-126.5173,0.0,top
SW1,146.33,-92.35,270.0,top
SW2,162.2588,-117.8423,0.0,top
SW3,162.3588,-125.7423,0.0,top
SW4,151.75,-118.0,0.0,top
SW5,162.3588,-109.9423,0.0,top
SW6,172.4588,-118.1423,0.0,top
U1,169.5588,-87.252351,135.0,top
U2,186.9588,-93.7923,90.0,top
U3,184.7588,-81.5423,0.0,top
U4,158.2375,-65.025,270.0,top
U5,170.15625,-54.55,0.0,top
Y1,162.548749,-92.853392,135.0,top
